longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,adminPttnCd,hmpgAddr,longTermAdminSym,pkngEquip,tfMth
21111000001,B01,11,110,서울시 종로구 재가노인복지기관,00,NORMAL SERVICE.,B01,www.urimodoo.co.kr,21111000001,- 골목길 주차가능,- 전철 6호선 창신역 4번 출구 - 숭인동우체국 뒤쪽 - 삼거리슈퍼 맞은편
21111000123,B01,11,110,효성재가요양복지센터,00,NORMAL SERVICE.,B01,http://효성재가요양복지센터.kr,21111000123,없음,"지하철 4호선 3번 출구 150미터 직진 한국방송통신대학 건너편 위치 (시내버스 273번, 601번, 109번, 종로08번 : 방송통신대.이화장 정류장 하차)"
21111000126,B01,11,110,종로재가복지센터,00,NORMAL SERVICE.,B01,blog.naver.com/gcc0701,21111000126,1대,"3호선 경복궁역 1번출구방향 200미터/버스 171번.808번.272번.273번,7025번,606번,370번"
21111000127,B01,11,110,주민재가방문요양센터,00,NORMAL SERVICE.,B01,https://blog.naver.com/kseniorlab/223300535246,21111000127,없음,종로3가역 3번출구 인근
21111000130,B01,11,110,종로이화재가복지센터,00,NORMAL SERVICE.,B01,종로방문요양.한국,21111000130,없음,- 6호선 동묘역 9번 출구 종로창신초등학교 방향 155미터(도보 2분)- 6호선 창신역 1번 출구 종로창신초등학교 방향 536미터(도보 8분)
21111000123,B02,11,110,효성재가요양복지센터,00,NORMAL SERVICE.,B02,http://효성재가요양복지센터.kr,21111000123,없음,"지하철 4호선 3번 출구 150미터 직진 한국방송통신대학 건너편 위치 (시내버스 273번, 601번, 109번, 종로08번 : 방송통신대.이화장 정류장 하차)"
21111000126,B02,11,110,종로재가복지센터,00,NORMAL SERVICE.,B02,blog.naver.com/gcc0701,21111000126,1대,"3호선 경복궁역 1번출구방향 200미터/버스 171번.808번.272번.273번,7025번,606번,370번"
21111000130,B02,11,110,종로이화재가복지센터,00,NORMAL SERVICE.,B02,종로방문요양.한국,21111000130,없음,- 6호선 동묘역 9번 출구 종로창신초등학교 방향 155미터(도보 2분)- 6호선 창신역 1번 출구 종로창신초등학교 방향 536미터(도보 8분)
21111000132,B02,11,110,참터재가복지센터,00,NORMAL SERVICE.,B02,http://www.spark.or.kr/,21111000132,O 부근에  사설주차장이 있으나 주차가 어려우니 가급적 대중교통을 이용하시기 바랍니다.,"◀지하철:  1, 4호선 동대문역 3번 출구 도보3분거리 => 우리은행 옆 창신골목시장 내 위치 ◀버  스: 101,103,105 등 동대문(흥인지문) 역에서 하차"
21111000139,B02,11,110,우리재가복지센터,00,NORMAL SERVICE.,B02,http://종로방문요양.com,21111000139,,"지하철 1호선, 6호선 동묘앞역 9번 출구에서  직진 후 종로프라자에서  왼쪽방면으로  도보로  5분"
21111000008,B03,11,110,종로데이케어센터,00,NORMAL SERVICE.,B03,http://www.jongno.or.kr/daycare,21111000008,있음(종로종합사회복지관 내),"6호선 창신역 1번출구에서 도보 10분거리(창신역 앞 하차 지선버스 1014번, 간선버스 142번, 705번)1호선 동대문역 5번출구, 6호선 창신역 4번출구에서 마을버스 3번타고 낙산삼거리 하차 도보 10분거리"
21111000034,B03,11,110,청운실버데이케어센터,00,NORMAL SERVICE.,B03,https://cafe.daum.net/cwsc7304966,21111000034,주차는 1~2대정도 주차 가능합니다.,"지하철 이용시 3호선 경복궁역 3번출구로 나오셔서 나오신 방향으로 그대로 걸어가셔서 버스를 이용합니다.(중간 마을버스 정류장을 지나셔야 합니다.) 버스는 초록 1020, 7212, 7022번을 타셔서 경복고등학교에서 하차합니다. 하차하시면 버스 진행방향으로 조금 걸으시면 궁정교회가 보이고 바로 저희 청운실버데이케어센터가 보입니다."
21111000066,B03,11,110,보현데이케어센터,00,NORMAL SERVICE.,B03,http://cafe.daum.net/bhdaycare,21111000066,주차가능합니다.,"- 지하철 : 지하철 3호선 경복궁역 3번 출구 전방 100m버스정류소 일반버스 1711, 1020 환승 →               화정박물관앞 하차 → 서울부동산앞 마을버스 8003번→ 청련사 입구              지하철 5호선 광화문역 2번 출구 버스정류소 일반버스 1711, 1020 환승 →               화정박물관앞 하차 → 서울부동산앞 마을버스 8003번→ 청련사 입구- 버  스 : 7211, 1711, 1020, 153, 110, 8153 화정박물관(혹은 갑을씨티텔)앞 하차 →               서울부동산앞 마을버스 8003번 환승 → 청련사 입구"
21111000085,B03,11,110,혜화동성당데이케어센터,00,NORMAL SERVICE.,B03,http://cafe.naver.com/7420515,21111000085,2면,지하철 : 4호선 혜화역 1번 출구 → 도보 200m 마을버스 승강장(혜화동 로터리 방면) → 마을버스 08 탑승 → 국민 생활관 하차버  스  : 국민 생활관 하차(혜화동 로터리 지나 혜화초등학교 정류장 다음 순서)자가용 : 종로구 혜화로 12길 14-9(혜화동) / 구주소 : 종로구 혜화동 13-10
21111000136,B03,11,110,수석데이케어센터,00,NORMAL SERVICE.,B03,https://blog.naver.com/godswilling,21111000136,기계식,"1호선, 6호선 동묘앞역 10번출구 홈플러스 방향으로 나와서 직진으로 도보 7분,새마을금고 앞 마을버스(3번) 숭인1동 주민센터 앞 하차 소유시간 3분"
21120000122,B04,11,200,서울숲 단기보호센터,00,NORMAL SERVICE.,B04,없음,21120000122,요양원 앞 주차요양원 뒤 주차 타워이용,버스:2012.2013.2224 뚝도시장 하차 경찰기동대주차장 옆건물 4층전철: 성수역하차 3번출구 직진 200미터
21121500214,B04,11,215,더행복데이케어센터,00,NORMAL SERVICE.,B04,https://blog.naver.com/thehappy_9988,21121500214,1층 전체 주차장  동시20대 주차가능,"서울 광진구 뚝섬로56길 40 행복한교회 3,4층지하철 2호선 4번출구 잠실대교방향으로 800미터거리버스 322번 322-1"
21121500283,B04,11,215,광진늘푸른단기보호센타,00,NORMAL SERVICE.,B04,없음,21121500283,13대 주차가능,"건대입구역~~ 2호선은  5번 출구, 7호선은 3번 출구 나오셔서 롯데백화점앞 마을버스 5번 타고  미소약국앞에서 내리신 후길 건너편 오양빌딩 6층입니다."
21123000348,B04,11,230,맑은샘단기보호센터,00,NORMAL SERVICE.,B04,,21123000348,,"네비게이션 주소 : 서울시 동대문구 답십리동 1-548 (창승빌딩 A동 2층) 지하철 1호선 회기역 2번 출구 맞은편 버스정류장 (동대문03, 2211번) 배봉산입구 하차 -> 버스 145, 1218번 (전곡시장 하차) 지하철 7호선 사가정역 2번 출구 -> 버스 2015번 (배봉초교앞 하차)"
21123000372,B04,11,230,"소망재가복지 (단기보호, 방문요양)",00,NORMAL SERVICE.,B04,blog.naver.com/us567,21123000372,주차공간 5대가능,"- 버스 2233, 3220번 전곡시장 하차 행복충전소(가스충전소) 옆 골목으로 진입하여 직진하시면 동산교회 맞은편 창승빌딩A동 4층 으로 오세요. - 버스 2015번 배봉초등학교 앞 하차, 농협하나로 마트 골목에서 5분거리에 있습니다.- 지하철 이용 시 5호선 답십리역 2번출구에서 신답역앞 방향으로 145번을 타시고 전곡시장에서 하차하시거나, 2015번을 타셔서 배봉초등학교 앞에서 하차하셔서 오시면 됩니다."
21111000126,B05,11,110,종로재가복지센터,00,NORMAL SERVICE.,B05,blog.naver.com/gcc0701,21111000126,1대,"3호선 경복궁역 1번출구방향 200미터/버스 171번.808번.272번.273번,7025번,606번,370번"
21111000130,B05,11,110,종로이화재가복지센터,00,NORMAL SERVICE.,B05,종로방문요양.한국,21111000130,없음,- 6호선 동묘역 9번 출구 종로창신초등학교 방향 155미터(도보 2분)- 6호선 창신역 1번 출구 종로창신초등학교 방향 536미터(도보 8분)
21111000145,B05,11,110,행복이음재가복지센터,00,NORMAL SERVICE.,B05,,21111000145,,
21114000095,B05,11,140,나무방문간호센터,00,NORMAL SERVICE.,B05,없음,21114000095,없음,"[대중교통 이용 시]1. 지하철- 을지로3가역(2호선, 3호선) 7번 출구 → 도보 4분- 을지로4가역(2호선, 5호선) 10번 출구 → 도보 4분2. 버스- (을지로3가 방면) 152, 261, 100, 202 버스 '을지로4가' 정류장 하차 → 도보 3분- (을지로5가 방면) 152, 261, 105, 604, 202, 100, 7011 버스 '을지로4가, 베스트웨스턴국도' 정류장 하차 → 도보 3분"
21117000191,B05,11,170,아가페방문간호센터,00,NORMAL SERVICE.,B05,,21117000191,,
21111000126,B06,11,110,종로재가복지센터,00,NORMAL SERVICE.,B06,blog.naver.com/gcc0701,21111000126,1대,"3호선 경복궁역 1번출구방향 200미터/버스 171번.808번.272번.273번,7025번,606번,370번"
21117000172,B06,11,170,강원전자주식회사 복지용구센터 더돌봄,00,NORMAL SERVICE.,B06,http://thedolbom.kwshop.co.kr/main/index,21117000172,주차시설 완비,"서울특별시 용산구 원효로 153, 3층 301호(원효로3가, 원효빌딩)도보 이용효창공원앞역 3번출구 -> 우측 용문시장 사거리 방향 약 200m ->좌측 원효로 2가 사거리 방향 약 230m -> 우측 원효대교 방향 150m 버스 이용효창공원앞역 3번출구 도보 5m -> 400번, 2016번 버스 탑승 -> 원효로 2가 정류장에서 하차 -> 원효대교 방향 도보 370m"
21117000182,B06,11,170,엠에이디실버,00,NORMAL SERVICE.,B06,http://blog.naver.com/mad-silver,21117000182,주차장 있음,"- 지하철 1,4호선 서울역 도보 약 10분- 시내버스 605, 400, 202 후암삼거리 하차 바로"
21120000189,B06,11,200,빠른케어 성동사업소,00,NORMAL SERVICE.,B06,www.빠른케어.com,21120000189,사무실 앞 유료주차장 이용.,왕십리역과 상왕십리역의 중간 제일교회쪽으로 들어와서 이발소건물 지하에 위치하고 있습니다.
21120000194,B06,11,200,우리의료기,00,NORMAL SERVICE.,B06,-,21120000194,전화주시면 주차가능 장소 안내 드리겠습니다.,"왕십리역 11번출구에서 330m 도보3분 (2호선, 5호선, 경의중앙선, 수인분당선)상왕십리 4번출구 도보3분 (2호선)"
31111000035,C01,11,110,효사랑플러스홈케어,00,NORMAL SERVICE.,C01,없음.,31111000035,주차 가능,"하림각 하차  BUS_ 1711, 7016, 7018, 7022, 7212, 1020 상명대 하차  BUS_ 110, 153, 7730"
31111000048,C01,11,110,웃음드림방문요양센터,00,NORMAL SERVICE.,C01,http://cafe.daum.net/smile011,31111000048,주차시설없음.,1호선과 6호선이 환승되는 동묘역 10번출구로 나와서창신역 방향으로 300m직진. 창신명품가구점 2층!
31111000050,C01,11,110,돌보미실버센터,00,NORMAL SERVICE.,C01,blog.daum.net/reejs15,31111000050,,1호선 동대문 역에 하차하시어 제일 상호신용금고옆길로 도보로 6-7분 걸으시면 됩니다.동부여성문화센타 바로  옆 입니다.
31111000063,C01,11,110,행복한재가노인복지센터,00,NORMAL SERVICE.,C01,없음,31111000063,"주차시설 없음,  대중교통 이용 바람",지하철 동대문역 1호선 1번출구 창신2동주민센터근처
31111000074,C01,11,110,운화실버복지센터,00,NORMAL SERVICE.,C01,https://blog.naver.com/1964cks,31111000074,주차공간 없음 대중교통이용 바람,"지하철 6호선 창신역 2번출구 에서  좌회전 하여 첫번째 우측골목으로 10미터쯤 위치 버스는   142,1014, 창신역입구에서  하차  하여 지하철 1,2번출구 사이길로 10미터즘 위치 마을버스  03 창신역 하차 지하철 1,2번출구 사이길로 10미터쯤 위치"
31111000048,C02,11,110,웃음드림방문요양센터,00,NORMAL SERVICE.,C02,http://cafe.daum.net/smile011,31111000048,주차시설없음.,1호선과 6호선이 환승되는 동묘역 10번출구로 나와서창신역 방향으로 300m직진. 창신명품가구점 2층!
31111000086,C02,11,110,효자요양센터,00,NORMAL SERVICE.,C02,,31111000086,낮에 1대,시청역4번출구에서 종로 09번 마을버스 또는 경복궁역 3번출구에서 종로 09번 마을버스 수성동 계곡 하차.
31111000108,C02,11,110,정드림방문요양센터,00,NORMAL SERVICE.,C02,없음,31111000108,없음,3호선 독립문역 하차 - 2번출구(세란병원) 뒷골목 종로구 통일로 14길 22-8 2층 정드림방문요양센터
31111000117,C02,11,110,행복한동행재가노인복지센터,00,NORMAL SERVICE.,C02,http://happyfriend.imweb.me/,31111000117,주차 가능 (509 대 주차가능),창신역 3번 출구 도보 7분 거리문의 : 010-2752-9430
31111000118,C02,11,110,세종노인요양복지센터,00,NORMAL SERVICE.,C02,없음,31111000118,유동적(보통은 주차가능),지하철 - 경복궁역 3호선 7번출구로 나오셔서 사직공원 방향으로 직진 800m 정도 도보 5~6거리버스  - 사직공원 정류장 하차
31117000153,C03,11,170,시온사랑 데이케어센터,00,NORMAL SERVICE.,C03,http://sionlove.com,31117000153,10대 가량 주차 가능,삼각지역 1번 출구에서 3분 거리에 위치함1번 출구로 나오셔서 -> 우리은행 -> 뒷편 공영주차장을 지나서 왼쪽 GS편의점 -> 식당 바로 옆에 시온사랑데이케어센터 입구가 있습니다.
31123000235,C03,11,230,다솜데이케어센터,00,NORMAL SERVICE.,C03,blog.naver.com/dasom_daycare,31123000235,* 센터 정문 : 주차타워 및 지상 주차장 * 센터 후문 : 지상 주차장,"다솜데이케어센터는 시조사 삼거리에 위치하고 있습니다. (서울시 동대문구 이문로7 mj민족통일경희대캠퍼스2차 2,3층) 찾아오시는 길- 지하철 이용시 : 1호선, 경춘선 회기역 (1번출구) 청량리 방향으로 400m 직진.- 버스이용시  - 105, 202, 272, 270  (파랑, 간선) : 시조사삼거리 하차  - 1224,1227 (초록, 지선) : 시조사삼거리 하차  - 1222 (초록, 지선) : 회기시장 방면  - 120,147,201,261,n13 (파랑, 간선) : 회기시장 방면 다솜데이케어센터(주야간보호, 데이케어, 방문요양, 방문목욕) 02) 2217-7775"
31130500283,C03,11,305,강북광산데이케어센터,00,NORMAL SERVICE.,C03,http://m.blog.naver.com/white009988,31130500283,건물주차장 8대 (건물뒤주차장 이용하실수있습니다.),"마을버스 : 02, 03, 04지선버스 : 1119, 1126, 1165, 1218, 1128 간선버스 : 153, 120"
31132000114,C03,11,320,도봉늘푸른치매인지재활데이케어센터,00,NORMAL SERVICE.,C03,https://blog.naver.com/hjs1568,31132000114,건물 뒤편에 주차6대 가능,"130번, 1119번, 1144번, 노원15번, 141번 탑승 후 방학사거리 정류장 하차. 우이동 방향으로 20미터"
31132000157,C03,11,320,행복드림데이케어센터,00,NORMAL SERVICE.,C03,blog.naver.com/happydreamcare,31132000157,주차시설완비(본건물뒷쪽 차량10대정도 주차공간 있음),"-지하철1호선 방학역2번출구,  도봉중학교 후문앞-버스이용시 도봉구청앞 하차"
31121500164,C04,11,215,실버밸리노인단기보호센터,00,NORMAL SERVICE.,C04,없음,31121500164,주차타워 완비. 건불앞 주차 총 20대 가능,"일반버스 : 302, 303, 3215, 3216, 320번 잠실대교 북단, 2221, 2412번 자양아파트앞 하차 좌석버스 : 9403번 잠실대교 앞 하차 순환버스 : 2223번 ( 건대역 5번출구로 나오신 후 건너편에서 이용 자양아파트앞 하차) 지하철    : 2호선 구의역 4번출구 혜민병원 지나  잠실대교 북단 방향으로 도보 10분"
31121500197,C04,11,215,성동실버케어요양원,00,NORMAL SERVICE.,C04,없음,31121500197,13대 가능,"2호선 건대입구역 5번 출구,  7호선 4번출구,나와서  롯데백화점앞  청담대교 북단 끝에서 마을버스 5번 승차후,,,  4 정거장 후 미소약국앞  하차 건너편 2시방향   오양빌딩 4층"
31132000220,C04,11,320,동그라미 인지/재활 데이케어센터,00,NORMAL SERVICE.,C04,blog.naver.com/donguramidaycare,31132000220,"주차장은 건물 뒷편에 위치, 지상주차장(4대)과 지하 엘리베이터이용 (20대)","주소서울시 도봉구 방학로3길 103 춘광빌딩 3층 전화번호02-989-7582대중교통도봉구 보건소정류장에서 하차 후 (간선버스 106,107,108,130,140,141,142,150,160 / 일반버스 36,37,72,74,118,133)H-큐브병원 맞은편 길(바닥에 보건소 화살표 표시)로 오시다가 만나는 사거리에서 좌측(보건소방향)으로 40m 지점 춘광빌딩3,4층승용차도봉구 보건소 사거리에서 우이동 방향으로 오시다가 농협 끼고 우회전해서 보건소정문지나  100m 더 오시면 됩니다."
31132000294,C04,11,320,도봉효드림요양원,00,NORMAL SERVICE.,C04,없음,31132000294,1 층에 주차시설있음,지하철4호선 창동역 1번출구로 나오셔서  자운초등학교정문쪽으로 도보 10분거리젬스빌딩 6층
31132000320,C04,11,320,도봉요양원,00,NORMAL SERVICE.,C04,http://www.dobongcare.com,31132000320,타워주차 40대  (건물뒷편)지상주차 10대,"도봉구도봉로601 (쌍문동, 시그마팰리스401호)도봉로 도봉보건소 버스정류장 에이치큐브병원 맞은편4호선 쌍문역 의정부 방향으로 두번째정류장 (  도봉보건소 버스정류장)입니다   , 에이치큐브병원 맞은편시그마팰리스 4층 입니다"
31114000018,C05,11,140,우영요양센터,00,NORMAL SERVICE.,C05,www.wycare.co.kr,31114000018,주차시설 가능 함,"구 동대문운동장(동대문역사문화공원) 5호선 6,7번 출구 직진 넥서스타워 302호 14층건물)"
31117000098,C05,11,170,새봄간호요양센타,00,NORMAL SERVICE.,C05,없음,31117000098,본센터 앞에 잠시 주차 가능하고 신창동 공영 주차장 이용 가능,"원효로 3가 버스정류장에 하차후 뚱뚱이 보쌈 골목쪽 에 위치버스 노선:  162번,  503번 , 7016번, 262번, 2016번 이 옵니다."
31117000121,C05,11,170,고운손방문요양센터주식회사,00,NORMAL SERVICE.,C05,blog.naver.com/assaleh,31117000121,사무실 옆 주차장 이용 가능합니다,지하철 6호선 효창공원역에서 내리셔서 6번 출구 나와서 용문시장 용문새마을금고를 찾아오신 후 진로마트 쪽으로 올라오시면 진로마트에서 마주보이는  건물 1층에 고운손방문요양센터가 있습니다
31117000148,C05,11,170,참사랑복지센터,00,NORMAL SERVICE.,C05,http://blog.naver.com/schmaeil,31117000148,차량 10대 이상 주차 가능(유료),"서울특별시 용산구 이태원로 211 한남빌딩 806호(용산구 이태원역 2번 출구 도보 약 5분)110번, 405번, 400번 승차 후 이태원119 안전센터 하차 도보 3분"
31120000015,C05,11,200,(A+)성동구방문요양간호센터,00,NORMAL SERVICE.,C05,www.sdhomecare.or.kr,31120000015,* 주차는 삼성아파트 상가동 주차장을 이용하시면 됩니다.(무료이용: 주차장 입구 차단기로 주차장입구에서 연락주시면 내려가서 차단기 열어드리겠습니다.),"5호선 마장역 1번출구에서 도선사거리 방면으로  도보 3분 거리  마장역 근처 버스노선 : 121, 2013, 2(마을버스) 도선사거리 정류장 이용시 도선사거리 정류장에서 하차하여 마장지하차로 방면으로 도보 5분거리   도선사거리 정류장 버스노선 : 03, 110B, 141,145,148, 421"
31111000012,C06,11,110,(주)이원건강의료기,00,NORMAL SERVICE.,C06,www.eonemedical.com,31111000012,주차가능,"5호선 서대문역 4번출구로 나오시어 직진 후 파리바게트 골목으로 좌회전,중앙대학교 평동캠퍼스를 끼고 우회전하시어 조금만 걸어오시면 미산의료기 위치해있습니다."
31111000015,C06,11,110,(주)통일의료기,00,NORMAL SERVICE.,C06,www.tongil.co.kr,31111000015,"주차 시설이 없습니다. 대중교통 이용 부탁드립니다.복지 용구 임대 불가, 복지용구 판매만 하고 있습니다.","지하철 1호선, 4호선. 동대문역 9번출구 길건너."
31111000042,C06,11,110,제일복지용구,00,NORMAL SERVICE.,C06,없음,31111000042,매장 앞 도로 주차  (5분이내),종로구 창경궁로158   (원남동 사거리) 서울대학교 병원 정문옆   전화 02-745-8382    팩스 02-766-7828
31114000063,C06,11,140,명신,00,NORMAL SERVICE.,C06,blog.naver.com/help1004ms,31114000063,공영주차장이용 및 매장앞 잠시주차,신당역6번출구에서 신당파출소끼고 좌회전 50m앞 공영주차장지나 우측도로 30m앞 창호빌딩끼고 우회전 30m앞 하이아파트 바로전  회림빌라 106호
31117000029,C06,11,170,천사랑 노인복지센터,00,NORMAL SERVICE.,C06,chunsarang1429.modoo.at,31117000029,<< 주차 가능  >>건물내 주차장: 상시 5대 주차가능,"※ 용산구 원효로4가, 성신여자 중,고등학교 옆 건물(상원B/D) 202호 - 남영역(1호선) 버스 7016,262 승차후 풍전아파트에서 하차 - 신용산역(4호선) 5번출구에서 버스0017 원효2동 주민센터에서 하차 - 마포역(5호선) 1번출구에서 7016 승차후 현대차서비스에서 하차 - 효창공원역(6호선,중앙선) 3번출구에서 2016  풍전아파트에서 하차"
11120000010,G31,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,G31,www.dbsc.or.kr,11120000010,장애인 지정 주차장 포함 총 88대 가능,상왕십리역 2번 출구에서 성동구보건소 방향으로 도보 7분거리
11123000381,G31,11,230,시립동대문실버케어센터,00,NORMAL SERVICE.,G31,동대문실버케어센터.com,11123000381,"15대, 장애인 주차 1대",청량리역 1호선 경춘선 6번 출구 도보 9분청량리역 경의중앙선 경춘선 2번 출구 도보 12분
11126000271,G31,11,260,서울시립중랑노인전문요양원,00,NORMAL SERVICE.,G31,www.jns-center.or.kr,11126000271,- 요양원 지하 1층(차단기 통과후 좌측으로 직진),"1) 승용차 - 망우사거리 지나 동부제일병원 삼거리 좌회전 300m 진입 후 오른쪽에 위치해 있습니다. - 북부간선도로 구리 방향으로 진행 -> 신내 I.C 내려서 -> 신내차량기지 방향으로 좌회전     하셔서 1km 직진 하시면 좌측편 송곡고등학교 지나 50m 앞에 위치하고 있습니다.2) 버스  - 북부병원이나 경남아파트 정류장에 하차하시면 바로 요양원(주황색 건물)이 보입니다. - 간선버스(파란색) : 262, 270 - 지선버스(초록색) : 2234 - 시외버스 : 703) 지하철 - 경의중앙선 승차 -> 양원역 하차 2번출구, 송곡고등학교 뒷편에 위치(주황색 건물)"
11129000365,G31,11,290,e포근한요양원,00,NORMAL SERVICE.,G31,e포근한요양원.com,11129000365,5대 가능,"우이신설 북한산보국문역 2번출구에서 500m(도보 10분)  버스 1114번, 1020번 삼덕단지 최만린미술관 정류장 도보 3분"
